@id	@type	type	route	name	description	from	to	ref	detour	status	Länge Teilstücke
1204020	relation	route	detour					U 19a	A 8	zusammenhängend	2,780
1204021	relation	route	detour					U 12a	A 8	zusammenhängend	1,167
1210357	relation	route	detour	U 56 (A 6)				U 56	A 6	zusammenhängend	16,241
1285135	relation	route	detour					U 30	A 8	zusammenhängend	6,307
1368380	relation	route	detour	U 10 (A 81)				U 10	A 81	zusammenhängend	4,683
1368933	relation	route	detour	U 9 (A 81)				U 9	A 81	zusammenhängend	3,688
1368944	relation	route	detour	U 16 (A 81)				U 16	A 81	zusammenhängend	5,127
1368980	relation	route	detour	U 36 (A 81)				U 36	A 81	zusammenhängend	10,655
1368996	relation	route	detour	U 45 (A 81)				U 45	A 81	zusammenhängend	11,269
1370205	relation	route	detour	U 44 (A 81)				U 44	A 81	zusammenhängend	21,727
1370242	relation	route	detour	U 4 (A 81)				U 4	A 81	zusammenhängend	5,457
1371882	relation	route	detour	U 56 (A 81)				U 56	A 81	nicht zusammenhängend	5,647	1,180	22,175
1371893	relation	route	detour	U 58 (A 81)				U 58	A 81	zusammenhängend	15,892
2068306	relation	route	detour	U 3 (A 81)				U 3	A 81	zusammenhängend	9,325
2374645	relation	route	detour	U 22 (A 5)				U 22	A 5	zusammenhängend	14,312
2448549	relation	route	detour	U 81 (A 6)				U 81	A 6	zusammenhängend	7,612
2593167	relation	route	detour					U 53	A 6	zusammenhängend	14,573
2593168	relation	route	detour	U 55 (A6)				U 55	A 6	nicht zusammenhängend	6,125	0,697
2593169	relation	route	detour					U 6	A 6	zusammenhängend	10,744
2640419	relation	route	detour	U 38 (A 6)				U 38	A 6	zusammenhängend	14,956
2640677	relation	route	detour	U 40 (A 6)				U 40	A 6	zusammenhängend	18,339
2640777	relation	route	detour	U 42 (A 6)				U 42	A 6	zusammenhängend	10,729
2642639	relation	route	detour	U 44 (A 6)				U 44	A 6	zusammenhängend	23,640
2642689	relation	route	detour	U 46 (A 6)				U 46	A 6	zusammenhängend	8,334
2643733	relation	route	detour	U 48 (A 6)				U 48	A 6	zusammenhängend	10,387
2644361	relation	route	detour	U 50 (A 6)				U 50	A 6	zusammenhängend	13,477
2646220	relation	route	detour	U 52 (A 6)				U 52	A 6	zusammenhängend	8,130
2646225	relation	route	detour	U 54 (A 6)				U 54	A 6	zusammenhängend	23,055
2649238	relation	route	detour	U 1 (A 98)				U 1	A 98	zusammenhängend	4,671
2649239	relation	route	detour	U 60 (A 81)				U 60	A 81	zusammenhängend	13,304
2649614	relation	route	detour	U 3 (A 98)				U 3	A 98	zusammenhängend	24,167
2649621	relation	route	detour	U 21 (A 81)				U 21	A 81	zusammenhängend	13,429
2649639	relation	route	detour	U 62 (A 81)				U 62	A 81	zusammenhängend	8,833
2650395	relation	route	detour	U 68 (A 81)				U 68	A 81	zusammenhängend	12,115
2650429	relation	route	detour	U 64 (A 81)				U 64	A 81	zusammenhängend	9,757
2675001	relation	route	detour	U 4 (A 8)				U 4	A 8	zusammenhängend	22,453
2675098	relation	route	detour	U 6 (A 8)				U 6	A 8	zusammenhängend	31,130
2675385	relation	route	detour	U 8 (A 8)				U 8	A 8	zusammenhängend	18,344
2675439	relation	route	detour	U 10 (A 8)				U 10	A 8	zusammenhängend	9,936
2675457	relation	route	detour	U 12 (A 8)				U 12	A 8	zusammenhängend	6,075
2878440	relation	route	detour	U 1 (A 7)				U 1	A 7	zusammenhängend	14,029
2878441	relation	route	detour	U 11 (A7)				U 11	A 7	zusammenhängend	12,534
2878443	relation	route	detour	U 15 (A7)				U 15	A 7	zusammenhängend	27,022
2878444	relation	route	detour	U 3 (A7)				U 3	A 7	zusammenhängend	7,930
2878452	relation	route	detour	U 5 (A7)				U 5	A 7	zusammenhängend	16,440
2878453	relation	route	detour	U 7 (A7)				U 7	A 7	zusammenhängend	25,810
2878454	relation	route	detour	U 9 (A7)				U 9	A 7	zusammenhängend	17,157
3091278	relation	route	detour	U 35a (A 8)				U 35a	A 8	zusammenhängend	9,147
3416471	relation	route	detour	U 19 (A 81)				U 19	A 81	zusammenhängend	7,867
3417280	relation	route	detour	U 23 (A 81)				U 23	A 81	zusammenhängend	16,233
3417351	relation	route	detour	U 25 (A 81)				U 25	A 81	zusammenhängend	29,469
3417369	relation	route	detour	U 27 (A 81)				U 27	A 81	zusammenhängend	20,299
3417453	relation	route	detour	U 37 (A 81)				U 37	A 81	zusammenhängend	10,870
3417781	relation	route	detour	U 5 (A 81)				U 5	A 81	zusammenhängend	5,268
3417814	relation	route	detour	U 7 (A 81)				U 7	A 81	zusammenhängend	3,829
3417857	relation	route	detour	U 11 (A 81)				U 11	A 81	zusammenhängend	4,745
3554214	relation	route	detour	U 71 (A 6)				U 71	A 6	zusammenhängend	18,468
3608949	relation	route	detour	U 6 (A 7)				U 6	A 7	zusammenhängend	26,621
3775061	relation	route	detour	U 20 (A 5)				U 20	A 5	zusammenhängend	18,029
3884141	relation	route	detour					U 14a	A 5	nicht zusammenhängend	4,714	0,839
3884142	relation	route	detour					U 32	A 5	zusammenhängend	0,716
3919298	relation	route	detour					U 51	A 6	zusammenhängend	8,203
4009039	relation	route	detour	U 11 (A 96)				U 11	A 96	zusammenhängend	5,109
4009040	relation	route	detour	U 14 (A 96)				U 14	A 96	zusammenhängend	9,488
4009041	relation	route	detour	U 9 (A 96)				U 9	A 96	zusammenhängend	9,276
4040942	relation	route	detour	U 14 (A 7)				U 14	A 7	zusammenhängend	14,636
4040944	relation	route	detour	U 2 (A 96)				U 2	A 96	zusammenhängend	19,968
4040945	relation	route	detour	U 87 (A 7)				U 87	A 7	zusammenhängend	7,140
4040946	relation	route	detour	U 89 (A 7)				U 89	A 7	zusammenhängend	6,623
4074358	relation	route	detour	U 15 (A 96)				U 15	A 96	zusammenhängend	3,970
4074359	relation	route	detour	U 17 (A 96)				U 17	A 96	zusammenhängend	9,096
4074360	relation	route	detour	U 19 (A 96)				U 19	A 96	zusammenhängend	9,695
